Date,Xmin,Ymin,Xmax,Ymax
2022-10-25,10.181818181818183,170.71267418712682,18.409550045913683,206.386197743862
2022-10-26,20.466483011937562,175.17186463171868,28.694214876033065,209.35899137359002
2022-10-27,30.751147842056938,158.8214996682151,38.97887970615244,193.00862641008632
2022-10-28,41.035812672176306,166.25348374253497,49.26354453627181,185.57664233576645
2022-10-31,51.32047750229568,158.8214996682151,59.54820936639118,190.03583278035842
2022-11-01,61.605142332415056,173.68546781685473,69.83287419651056,195.98142003981422
2022-11-02,71.88980716253444,133.55275381552758,80.11753902662994,190.03583278035842
2022-11-03,82.1744719926538,133.55275381552758,90.40220385674931,161.794293297943
2022-11-04,92.45913682277319,163.28069011280695,100.68686868686869,213.81818181818187
2022-11-07,102.74380165289256,129.09356337093573,110.97153351698806,195.98142003981422
2022-11-08,113.02846648301194,91.93364299933648,121.25619834710744,151.38951559389523
2022-11-09,123.31313131313131,90.44724618447253,131.5408631772268,117.202388852024
2022-11-10,133.59779614325066,120.1751824817519,141.82552800734618,143.95753151957535
2022-11-11,143.88246097337006,85.98805573988068,152.11019283746558,120.1751824817519
2022-11-14,154.16712580348943,83.01526211015266,162.39485766758494,121.66157929661586
2022-11-15,164.4517906336088,54.77372262773724,172.67952249770428,114.22959522229598
2022-11-16,174.7364554637282,42.88254810882563,182.9641873278237,83.01526211015266
2022-11-17,185.02112029384756,51.80092899800934,193.24885215794308,80.04246848042476
2022-11-18,195.30578512396696,10.181818181818244,203.53351698806247,65.17850033178502
2022-11-21,205.59044995408632,41.396151293961566,213.81818181818184,93.42003981420044
