Date,Xmin,Ymin,Xmax,Ymax
2021-12-09,81.81818181818186,127.56355019388207,87.16577540106955,173.07195174493756
2021-12-10,88.50267379679148,152.0680741059889,93.85026737967918,176.57259801809562
2021-12-13,95.1871657754011,159.069366652305,100.5347593582888,180.0732442912538
2021-12-14,101.87165775401073,106.55967255493329,107.21925133689842,162.57001292546317
2021-12-15,108.55614973262036,29.545454545454504,113.90374331550805,134.56484274019817
2021-12-16,115.24064171122998,75.05385609651012,120.58823529411768,120.56225764756573
2021-12-17,121.92513368983961,68.05256355019401,127.27272727272731,113.5609651012494
2021-12-20,128.60962566844924,85.5557949159845,133.95721925133694,152.0680741059889
2021-12-21,135.29411764705887,141.5661352865145,140.64171122994657,176.57259801809562
2021-12-22,141.97860962566847,54.04997845756134,147.32620320855617,190.57518311072818
2021-12-23,148.6631016042781,99.55838000861695,154.0106951871658,166.07065919862134
2021-12-24,155.34759358288773,148.56742783283062,160.69518716577542,173.07195174493756
2021-12-27,162.03208556149735,110.06031882809134,167.37967914438505,166.07065919862134
2021-12-28,168.71657754010698,141.5661352865145,174.06417112299468,169.5713054717794
2021-12-29,175.4010695187166,138.06548901335623,180.7486631016043,169.5713054717794
2021-12-30,182.08556149732624,148.56742783283062,187.43315508021394,169.5713054717794
2022-01-03,188.77005347593587,134.56484274019817,194.11764705882356,162.57001292546317
2022-01-04,195.4545454545455,134.56484274019817,200.8021390374332,152.0680741059889
2022-01-05,202.13903743315512,141.5661352865145,207.48663101604282,169.5713054717794
2022-01-06,208.82352941176478,162.57001292546317,214.17112299465248,190.57518311072818
2022-01-07,215.50802139037438,159.069366652305,220.85561497326208,190.57518311072818
2022-01-10,222.192513368984,159.069366652305,227.5401069518717,183.57389056441195
2022-01-11,228.87700534759364,155.56872037914695,234.22459893048133,183.57389056441195
2022-01-12,235.56149732620327,159.069366652305,240.90909090909096,180.0732442912538
2022-01-13,242.2459893048129,173.07195174493756,247.5935828877006,197.5764756570444
2022-01-14,248.93048128342252,197.5764756570444,254.27807486631022,229.08229211546745
2022-01-17,255.61497326203215,215.079707022835,260.9625668449199,257.08746230073245
2022-01-18,262.2994652406418,239.58423093494184,267.6470588235295,288.5932787591555
2022-01-19,268.9839572192514,274.59069366652307,274.33155080213913,313.09780267126246
