CenterX,CenterY,Width,Height,Range,Pattern,Priority
0.763666,0.904998,0.017825,0.099095,2022-09-23/2022-09-26/2022-09-27/2022-09-28/2022-09-29,,1
0.581699,0.651336,0.040107,0.102327,2022-07-08/2022-07-11/2022-07-12/2022-07-13/2022-07-14/2022-07-15/2022-07-18/2022-07-19/2022-07-20/2022-07-21/2022-07-22,,2
0.162062,0.55978,0.010398,0.102327,2022-01-26/2022-01-27/2022-01-28,,3
0.277184,0.285114,0.010398,0.231581,2022-03-17/2022-03-18/2022-03-21,,3
0.522282,0.810211,0.010398,0.103404,2022-06-22/2022-06-23/2022-06-24,,3
0.184343,0.427833,0.017825,0.17234,2022-02-07/2022-02-08/2022-02-09/2022-02-10/2022-02-11,BearishEngulfing,4
0.483289,0.594787,0.014112,0.107712,2022-06-07/2022-06-08/2022-06-09/2022-06-10,,4
0.396019,0.481689,0.017825,0.075399,2022-04-29/2022-05-02/2022-05-03/2022-05-04/2022-05-06,,4
0.706105,0.770896,0.014112,0.061396,2022-08-31/2022-09-01/2022-09-02/2022-09-05,,4
0.637403,0.689035,0.025253,0.080784,2022-08-02/2022-08-03/2022-08-04/2022-08-05/2022-08-08/2022-08-09/2022-08-10,,4
0.91221,0.850603,0.03268,0.06355,2022-11-18/2022-11-21/2022-11-22/2022-11-23/2022-11-24/2022-11-25/2022-11-28/2022-11-29/2022-11-30,,4
0.886215,0.813981,0.017825,0.052779,2022-11-11/2022-11-14/2022-11-15/2022-11-16/2022-11-17,,4
0.061794,0.188173,0.017825,0.210039,2021-12-16/2021-12-17/2021-12-20/2021-12-21/2021-12-22,BullishHarami/Hammer/BullishDoji/BearishEngulfing,5
0.117499,0.27165,0.017825,0.064627,2022-01-07/2022-01-10/2022-01-11/2022-01-12/2022-01-13,,5
0.223336,0.468225,0.014112,0.091555,2022-02-22/2022-02-23/2022-02-24/2022-02-25,,5
0.358883,0.40629,0.017825,0.053856,2022-04-15/2022-04-18/2022-04-19/2022-04-20/2022-04-21,,5
0.41273,0.549009,0.021539,0.123869,2022-05-06/2022-05-09/2022-05-10/2022-05-11/2022-05-12/2022-05-13,,5
0.433155,0.551702,0.03268,0.096941,2022-05-12/2022-05-13/2022-05-16/2022-05-17/2022-05-18/2022-05-19/2022-05-20/2022-05-23/2022-05-24,,5
0.544563,0.792439,0.017825,0.067859,2022-06-29/2022-06-30/2022-07-01/2022-07-04/2022-07-05,,5
0.663399,0.691728,0.010398,0.053856,2022-08-16/2022-08-17/2022-08-18,,5
