CenterX,CenterY,Width,Height,Range,Pattern,Priority
0.722816,0.897182,0.017825,0.114728,2022-09-23/2022-09-26/2022-09-27/2022-09-28/2022-09-29,,1
0.058081,0.120277,0.010398,0.062352,2022-01-03/2022-01-04/2022-01-05,,1
0.481432,0.787442,0.010398,0.119716,2022-06-22/2022-06-23/2022-06-24,,2
0.54085,0.603504,0.040107,0.118469,2022-07-08/2022-07-11/2022-07-12/2022-07-13/2022-07-14/2022-07-15/2022-07-18/2022-07-19/2022-07-20/2022-07-21/2022-07-22,,2
0.119355,0.472565,0.014112,0.16835,2022-01-25/2022-01-26/2022-01-27/2022-01-28,Hammer/BullishDoji/BearishEngulfing,3
0.284611,0.29798,0.025253,0.081057,2022-04-01/2022-04-04/2022-04-05/2022-04-06/2022-04-07/2022-04-08/2022-04-11,,3
0.719103,0.895311,0.010398,0.110986,2022-09-23/2022-09-26/2022-09-27,,3
0.236334,0.179511,0.010398,0.268113,2022-03-17/2022-03-18/2022-03-21,BearishEngulfing,4
0.371881,0.485036,0.021539,0.143409,2022-05-06/2022-05-09/2022-05-10/2022-05-11/2022-05-12/2022-05-13,,4
0.271613,0.248098,0.014112,0.118469,2022-03-30/2022-03-31/2022-04-01/2022-04-04,BearishEngulfing,4
0.702392,0.809265,0.021539,0.103504,2022-09-15/2022-09-16/2022-09-19/2022-09-20/2022-09-21/2022-09-22,,4
0.615122,0.644033,0.025253,0.074822,2022-08-09/2022-08-10/2022-08-11/2022-08-12/2022-08-16/2022-08-17/2022-08-18,,4
0.871361,0.834206,0.03268,0.073575,2022-11-18/2022-11-21/2022-11-22/2022-11-23/2022-11-24/2022-11-25/2022-11-28/2022-11-29/2022-11-30,,4
0.943776,0.760631,0.014112,0.066093,2022-12-20/2022-12-21/2022-12-22/2022-12-23,,4
0.095217,0.319803,0.010398,0.174585,2022-01-17/2022-01-18/2022-01-19,,5
0.145351,0.341626,0.014112,0.193291,2022-02-08/2022-02-09/2022-02-10/2022-02-11,,5
0.292038,0.332273,0.03268,0.112233,2022-04-04/2022-04-05/2022-04-06/2022-04-07/2022-04-08/2022-04-11/2022-04-12/2022-04-13/2022-04-14,,5
0.327317,0.357214,0.014112,0.099763,2022-04-20/2022-04-21/2022-04-22/2022-04-25,BullishDoji,5
0.386735,0.485036,0.014112,0.105998,2022-05-13/2022-05-16/2022-05-17/2022-05-18,,5
0.442439,0.538035,0.014112,0.124704,2022-06-07/2022-06-08/2022-06-09/2022-06-10,,5
0.642974,0.682691,0.036393,0.102257,2022-08-18/2022-08-19/2022-08-22/2022-08-23/2022-08-24/2022-08-25/2022-08-26/2022-08-29/2022-08-30/2022-08-31,,5
0.763666,0.877229,0.010398,0.072328,2022-10-13/2022-10-14/2022-10-17,,5
0.785948,0.837324,0.010398,0.049881,2022-10-21/2022-10-24/2022-10-25,,5
0.845365,0.791807,0.017825,0.061105,2022-11-11/2022-11-14/2022-11-15/2022-11-16/2022-11-17,,5
