Label,CenterX,CenterY,Width,Height,Range,Pattern,Priority
1,0.719103,0.897182,0.017825,0.114728,2022-09-23/2022-09-26/2022-09-27/2022-09-28/2022-09-29,,1
0,0.054367,0.120277,0.010398,0.062352,2022-01-03/2022-01-04/2022-01-05,,1
1,0.477718,0.787442,0.010398,0.119716,2022-06-22/2022-06-23/2022-06-24,,2
0,0.537136,0.603504,0.040107,0.118469,2022-07-08/2022-07-11/2022-07-12/2022-07-13/2022-07-14/2022-07-15/2022-07-18/2022-07-19/2022-07-20/2022-07-21/2022-07-22,,2
1,0.115642,0.472565,0.014112,0.16835,2022-01-25/2022-01-26/2022-01-27/2022-01-28,BearishEngulfing/Hammer/BullishDoji,3
0,0.282754,0.307333,0.021539,0.062352,2022-04-04/2022-04-05/2022-04-06/2022-04-07/2022-04-08/2022-04-11,,3
1,0.178773,0.391508,0.014112,0.105998,2022-02-22/2022-02-23/2022-02-24/2022-02-25,BullishHarami,4
0,0.23262,0.179511,0.010398,0.268113,2022-03-17/2022-03-18/2022-03-21,BearishEngulfing,4
1,0.368167,0.485036,0.021539,0.143409,2022-05-06/2022-05-09/2022-05-10/2022-05-11/2022-05-12/2022-05-13,,4
0,0.280897,0.29798,0.025253,0.081057,2022-04-01/2022-04-04/2022-04-05/2022-04-06/2022-04-07/2022-04-08/2022-04-11,,4
1,0.702392,0.81176,0.021539,0.108492,2022-09-16/2022-09-19/2022-09-20/2022-09-21/2022-09-22/2022-09-23,,4
0,0.615122,0.650268,0.017825,0.062352,2022-08-11/2022-08-12/2022-08-16/2022-08-17/2022-08-18,,4
1,0.867647,0.834206,0.03268,0.073575,2022-11-18/2022-11-21/2022-11-22/2022-11-23/2022-11-24/2022-11-25/2022-11-28/2022-11-29/2022-11-30,,4
0,0.940062,0.760631,0.014112,0.066093,2022-12-20/2022-12-21/2022-12-22/2022-12-23,,4
1,0.091503,0.319803,0.010398,0.174585,2022-01-17/2022-01-18/2022-01-19,,5
0,0.141637,0.341626,0.014112,0.193291,2022-02-08/2022-02-09/2022-02-10/2022-02-11,,5
1,0.425728,0.485036,0.017825,0.081058,2022-05-30/2022-05-31/2022-06-02/2022-06-03/2022-06-07,,5
0,0.440582,0.550505,0.010398,0.099763,2022-06-08/2022-06-09/2022-06-10,,5
1,0.63926,0.682691,0.036393,0.102257,2022-08-18/2022-08-19/2022-08-22/2022-08-23/2022-08-24/2022-08-25/2022-08-26/2022-08-29/2022-08-30/2022-08-31,,5
0,0.663399,0.745667,0.010398,0.063599,2022-09-01/2022-09-02/2022-09-05,,5
1,0.782234,0.837324,0.010398,0.049881,2022-10-21/2022-10-24/2022-10-25,,5
0,0.841652,0.791807,0.017825,0.061105,2022-11-11/2022-11-14/2022-11-15/2022-11-16/2022-11-17,,5
