Label,CenterX,CenterY,Width,Height,Range,Pattern,Priority
1,0.733957,0.897182,0.017825,0.114728,2022-09-23/2022-09-26/2022-09-27/2022-09-28/2022-09-29,,1
0,0.069222,0.120277,0.010398,0.062352,2022-01-03/2022-01-04/2022-01-05,,1
1,0.492573,0.787442,0.010398,0.119716,2022-06-22/2022-06-23/2022-06-24,,2
0,0.551991,0.603504,0.040107,0.118469,2022-07-08/2022-07-11/2022-07-12/2022-07-13/2022-07-14/2022-07-15/2022-07-18/2022-07-19/2022-07-20/2022-07-21/2022-07-22,,2
1,0.95306,0.753772,0.002971,0.052376,2022-12-21,,2
0,0.280897,0.238745,0.010398,0.099763,2022-03-30/2022-03-31/2022-04-01,BearishEngulfing,3
1,0.713532,0.809265,0.021539,0.103504,2022-09-15/2022-09-16/2022-09-19/2022-09-20/2022-09-21/2022-09-22,,3
0,0.934492,0.737561,0.017825,0.137174,2022-12-12/2022-12-13/2022-12-14/2022-12-15/2022-12-16,,3
1,0.167632,0.410213,0.014112,0.193291,2022-02-11/2022-02-14/2022-02-15/2022-02-16,,4
0,0.247475,0.179511,0.010398,0.268113,2022-03-17/2022-03-18/2022-03-21,BearishEngulfing,4
1,0.483289,0.760007,0.014112,0.074822,2022-06-17/2022-06-20/2022-06-21/2022-06-22,,4
0,0.403446,0.488153,0.03268,0.112233,2022-05-12/2022-05-13/2022-05-16/2022-05-17/2022-05-18/2022-05-19/2022-05-20/2022-05-23/2022-05-24,,4
1,0.707962,0.80303,0.010398,0.071081,2022-09-15/2022-09-16/2022-09-19,,4
0,0.607695,0.647151,0.025252,0.093528,2022-08-02/2022-08-03/2022-08-04/2022-08-05/2022-08-08/2022-08-09/2022-08-10,,4
1,0.882501,0.834206,0.03268,0.073575,2022-11-18/2022-11-21/2022-11-22/2022-11-23/2022-11-24/2022-11-25/2022-11-28/2022-11-29/2022-11-30,,4
0,0.156491,0.341626,0.014112,0.193291,2022-02-08/2022-02-09/2022-02-10/2022-02-11,,5
1,0.303179,0.332273,0.03268,0.112233,2022-04-04/2022-04-05/2022-04-06/2022-04-07/2022-04-08/2022-04-11/2022-04-12/2022-04-13/2022-04-14,,5
0,0.332888,0.329156,0.017825,0.068587,2022-04-18/2022-04-19/2022-04-20/2022-04-21/2022-04-22,BearishEngulfing,5
1,0.383021,0.485036,0.021539,0.143409,2022-05-06/2022-05-09/2022-05-10/2022-05-11/2022-05-12/2022-05-13,,5
0,0.442439,0.488153,0.014112,0.074822,2022-05-31/2022-06-02/2022-06-03/2022-06-07,,5
1,0.644831,0.671468,0.025253,0.104751,2022-08-17/2022-08-18/2022-08-19/2022-08-22/2022-08-23/2022-08-24/2022-08-25,,5
0,0.722816,0.8367,0.010398,0.058611,2022-09-21/2022-09-22/2022-09-23,,5
1,0.76738,0.8897,0.017825,0.047387,2022-10-07/2022-10-11/2022-10-12/2022-10-13/2022-10-14,,5
0,0.856506,0.791807,0.017825,0.061105,2022-11-11/2022-11-14/2022-11-15/2022-11-16/2022-11-17,,5
