CenterX,CenterY,Width,Height,Range,Pattern,Priority
0.737671,0.898338,0.017825,0.112414,2022-09-23/2022-09-26/2022-09-27/2022-09-28/2022-09-29,,1
0.072935,0.137097,0.010398,0.061095,2022-01-03/2022-01-04/2022-01-05,,1
0.496286,0.790811,0.010398,0.117302,2022-06-22/2022-06-23/2022-06-24,,2
0.555704,0.610582,0.040107,0.11608,2022-07-08/2022-07-11/2022-07-12/2022-07-13/2022-07-14/2022-07-15/2022-07-18/2022-07-19/2022-07-20/2022-07-21/2022-07-22,,2
0.949346,0.74499,0.010398,0.103861,2022-12-16/2022-12-19/2022-12-20,,2
0.284611,0.253177,0.010398,0.097752,2022-03-30/2022-03-31/2022-04-01,BearishEngulfing,3
0.711676,0.806085,0.010398,0.069648,2022-09-15/2022-09-16/2022-09-19,,3
0.938206,0.741935,0.017825,0.134409,2022-12-12/2022-12-13/2022-12-14/2022-12-15/2022-12-16,,3
0.171346,0.421188,0.014112,0.189394,2022-02-11/2022-02-14/2022-02-15/2022-02-16,,4
0.251188,0.195137,0.010398,0.262708,2022-03-17/2022-03-18/2022-03-21,BearishEngulfing,4
0.36074,0.408969,0.036393,0.103861,2022-04-22/2022-04-25/2022-04-26/2022-04-27/2022-04-28/2022-04-29/2022-05-02/2022-05-03/2022-05-04/2022-05-06,,4
0.27904,0.253177,0.021539,0.097752,2022-03-25/2022-03-28/2022-03-29/2022-03-30/2022-03-31/2022-04-01,BearishEngulfing,4
0.487002,0.76393,0.014112,0.073314,2022-06-17/2022-06-20/2022-06-21/2022-06-22,,4
0.40716,0.497556,0.03268,0.109971,2022-05-12/2022-05-13/2022-05-16/2022-05-17/2022-05-18/2022-05-19/2022-05-20/2022-05-23/2022-05-24,,4
0.696821,0.775538,0.03268,0.079423,2022-09-02/2022-09-05/2022-09-06/2022-09-07/2022-09-08/2022-09-13/2022-09-14/2022-09-15/2022-09-16,,4
0.611408,0.653348,0.025253,0.091642,2022-08-02/2022-08-03/2022-08-04/2022-08-05/2022-08-08/2022-08-09/2022-08-10,,4
0.886215,0.836632,0.03268,0.072092,2022-11-18/2022-11-21/2022-11-22/2022-11-23/2022-11-24/2022-11-25/2022-11-28/2022-11-29/2022-11-30,,4
0.160205,0.353983,0.014112,0.189394,2022-02-08/2022-02-09/2022-02-10/2022-02-11,,5
0.306892,0.344819,0.03268,0.109971,2022-04-04/2022-04-05/2022-04-06/2022-04-07/2022-04-08/2022-04-11/2022-04-12/2022-04-13/2022-04-14,,5
0.332888,0.3326,0.017825,0.061095,2022-04-15/2022-04-18/2022-04-19/2022-04-20/2022-04-21,BearishEngulfing,5
0.386735,0.494501,0.021539,0.140518,2022-05-06/2022-05-09/2022-05-10/2022-05-11/2022-05-12/2022-05-13,,5
0.444296,0.494501,0.017825,0.079423,2022-05-30/2022-05-31/2022-06-02/2022-06-03/2022-06-07,,5
0.648544,0.677175,0.025252,0.102639,2022-08-17/2022-08-18/2022-08-19/2022-08-22/2022-08-23/2022-08-24/2022-08-25,,5
0.663399,0.709555,0.010398,0.057429,2022-08-25/2022-08-26/2022-08-29,,5
0.771093,0.891007,0.017825,0.046432,2022-10-07/2022-10-11/2022-10-12/2022-10-13/2022-10-14,,5
0.86022,0.795088,0.017825,0.059873,2022-11-11/2022-11-14/2022-11-15/2022-11-16/2022-11-17,,5
