CenterX,CenterY,Width,Height,Range,Pattern,Priority
0.745098,0.902854,0.017825,0.103382,2022-09-23/2022-09-26/2022-09-27/2022-09-28/2022-09-29,,1
0.080362,0.202776,0.010398,0.056186,2022-01-03/2022-01-04/2022-01-05,,1
0.49443,0.779245,0.014112,0.067423,2022-06-17/2022-06-20/2022-06-21/2022-06-22,,2
0.563131,0.638218,0.040107,0.106754,2022-07-08/2022-07-11/2022-07-12/2022-07-13/2022-07-14/2022-07-15/2022-07-18/2022-07-19/2022-07-20/2022-07-21/2022-07-22,,2
0.141637,0.520227,0.014112,0.151702,2022-01-25/2022-01-26/2022-01-27/2022-01-28,Hammer/BullishDoji,3
0.286468,0.309529,0.021539,0.089898,2022-03-25/2022-03-28/2022-03-29/2022-03-30/2022-03-31/2022-04-01,,3
0.719103,0.818013,0.010398,0.064052,2022-09-15/2022-09-16/2022-09-19,,3
0.945633,0.759018,0.017825,0.123609,2022-12-12/2022-12-13/2022-12-14/2022-12-15/2022-12-16,,3
0.178773,0.464041,0.014112,0.174177,2022-02-11/2022-02-14/2022-02-15/2022-02-16,,4
0.258616,0.256152,0.010398,0.2416,2022-03-17/2022-03-18/2022-03-21,BearishEngulfing,4
0.503714,0.803967,0.010398,0.107877,2022-06-22/2022-06-23/2022-06-24,,4
0.618835,0.677548,0.025252,0.084279,2022-08-02/2022-08-03/2022-08-04/2022-08-05/2022-08-08/2022-08-09/2022-08-10,,4
0.893642,0.846106,0.03268,0.0663,2022-11-18/2022-11-21/2022-11-22/2022-11-23/2022-11-24/2022-11-25/2022-11-28/2022-11-29/2022-11-30,,4
0.867647,0.8079,0.017825,0.055062,2022-11-11/2022-11-14/2022-11-15/2022-11-16/2022-11-17,,4
0.085933,0.219631,0.014112,0.089898,2022-01-04/2022-01-05/2022-01-06/2022-01-07,,5
0.106358,0.270199,0.010398,0.112372,2022-01-12/2022-01-13/2022-01-14,,5
0.31432,0.393808,0.03268,0.101135,2022-04-04/2022-04-05/2022-04-06/2022-04-07/2022-04-08/2022-04-11/2022-04-12/2022-04-13/2022-04-14,,5
0.340315,0.382571,0.017825,0.056186,2022-04-15/2022-04-18/2022-04-19/2022-04-20/2022-04-21,,5
0.394162,0.531464,0.021539,0.129228,2022-05-06/2022-05-09/2022-05-10/2022-05-11/2022-05-12/2022-05-13,,5
0.451723,0.531464,0.017825,0.073042,2022-05-30/2022-05-31/2022-06-02/2022-06-03/2022-06-07,,5
0.650401,0.694404,0.014112,0.084279,2022-08-17/2022-08-18/2022-08-19/2022-08-22,,5
0.670826,0.729239,0.010398,0.052815,2022-08-25/2022-08-26/2022-08-29,,5
0.778521,0.896112,0.017825,0.042701,2022-10-07/2022-10-11/2022-10-12/2022-10-13/2022-10-14,,5
0.817513,0.842735,0.028966,0.05731,2022-10-21/2022-10-24/2022-10-25/2022-10-26/2022-10-27/2022-10-28/2022-10-31/2022-11-01,,5
0.847222,0.832622,0.036393,0.055062,2022-11-01/2022-11-02/2022-11-03/2022-11-04/2022-11-07/2022-11-08/2022-11-09/2022-11-10/2022-11-11/2022-11-14,,5
0.914067,0.83824,0.021539,0.082032,2022-11-29/2022-11-30/2022-12-01/2022-12-02/2022-12-05/2022-12-06,,5
