Label,CenterX,CenterY,Width,Height,Range,Pattern,Priority
1,0.759953,0.904998,0.017825,0.099095,2022-09-23/2022-09-26/2022-09-27/2022-09-28/2022-09-29,,1
0,0.048797,0.126239,0.006684,0.161568,2021-12-15/2021-12-16,,1
1,0.492573,0.708962,0.010398,0.099095,2022-06-13/2022-06-14/2022-06-15,,2
0,0.577986,0.651336,0.040107,0.102327,2022-07-08/2022-07-11/2022-07-12/2022-07-13/2022-07-14/2022-07-15/2022-07-18/2022-07-19/2022-07-20/2022-07-21/2022-07-22,,2
1,0.95306,0.81075,0.002971,0.031237,2022-12-12,,2
0,0.27347,0.285114,0.010398,0.231581,2022-03-17/2022-03-18/2022-03-21,,3
1,0.518568,0.810211,0.010398,0.103404,2022-06-22/2022-06-23/2022-06-24,,3
0,0.18063,0.427833,0.017825,0.17234,2022-02-07/2022-02-08/2022-02-09/2022-02-10/2022-02-11,BearishEngulfing,4
1,0.373737,0.452068,0.025253,0.091555,2022-04-21/2022-04-22/2022-04-25/2022-04-26/2022-04-27/2022-04-28/2022-04-29,,4
0,0.392305,0.481689,0.017825,0.075399,2022-04-29/2022-05-02/2022-05-03/2022-05-04/2022-05-06,,4
1,0.702392,0.770896,0.014112,0.061396,2022-08-31/2022-09-01/2022-09-02/2022-09-05,,4
0,0.63369,0.689035,0.025253,0.080784,2022-08-02/2022-08-03/2022-08-04/2022-08-05/2022-08-08/2022-08-09/2022-08-10,,4
1,0.908497,0.850603,0.03268,0.06355,2022-11-18/2022-11-21/2022-11-22/2022-11-23/2022-11-24/2022-11-25/2022-11-28/2022-11-29/2022-11-30,,4
0,0.113785,0.27165,0.017825,0.064627,2022-01-07/2022-01-10/2022-01-11/2022-01-12/2022-01-13,,5
1,0.219623,0.468225,0.014112,0.091555,2022-02-22/2022-02-23/2022-02-24/2022-02-25,,5
0,0.262329,0.44399,0.010398,0.096941,2022-03-14/2022-03-15/2022-03-16,,5
1,0.312463,0.352434,0.021539,0.118483,2022-03-30/2022-03-31/2022-04-01/2022-04-04/2022-04-05/2022-04-06,,5
0,0.355169,0.40629,0.017825,0.053856,2022-04-15/2022-04-18/2022-04-19/2022-04-20/2022-04-21,,5
1,0.409017,0.549009,0.021539,0.123869,2022-05-06/2022-05-09/2022-05-10/2022-05-11/2022-05-12/2022-05-13,,5
0,0.429441,0.551702,0.03268,0.096941,2022-05-12/2022-05-13/2022-05-16/2022-05-17/2022-05-18/2022-05-19/2022-05-20/2022-05-23/2022-05-24,,5
1,0.618835,0.691728,0.017825,0.075399,2022-07-28/2022-07-29/2022-08-01/2022-08-02/2022-08-03,,5
0,0.810086,0.880224,0.021539,0.07109,2022-10-14/2022-10-17/2022-10-18/2022-10-19/2022-10-20/2022-10-21,,5
1,0.862077,0.837678,0.036393,0.052779,2022-11-01/2022-11-02/2022-11-03/2022-11-04/2022-11-07/2022-11-08/2022-11-09/2022-11-10/2022-11-11/2022-11-14,,5
0,0.850936,0.843063,0.058675,0.06355,2022-10-24/2022-10-25/2022-10-26/2022-10-27/2022-10-28/2022-10-31/2022-11-01/2022-11-02/2022-11-03/2022-11-04/2022-11-07/2022-11-08/2022-11-09/2022-11-10/2022-11-11/2022-11-14,,5
