Label,CenterX,CenterY,Width,Height,Range,Pattern,Priority
1,0.752525,0.902854,0.017825,0.103382,2022-09-23/2022-09-26/2022-09-27/2022-09-28/2022-09-29,,1
0,0.048797,0.135352,0.006684,0.134847,2021-12-17/2021-12-20,,1
1,0.490716,0.753399,0.014112,0.112372,2022-06-14/2022-06-15/2022-06-16/2022-06-17,,2
0,0.570559,0.638218,0.040107,0.106754,2022-07-08/2022-07-11/2022-07-12/2022-07-13/2022-07-14/2022-07-15/2022-07-18/2022-07-19/2022-07-20/2022-07-21/2022-07-22,,2
1,0.95306,0.730925,0.002971,0.044949,2022-12-14,,2
0,0.293895,0.309529,0.021539,0.089898,2022-03-25/2022-03-28/2022-03-29/2022-03-30/2022-03-31/2022-04-01,,3
1,0.511141,0.803967,0.010398,0.107877,2022-06-22/2022-06-23/2022-06-24,,3
0,0.266043,0.256152,0.010398,0.2416,2022-03-17/2022-03-18/2022-03-21,,4
1,0.485146,0.698337,0.010398,0.103382,2022-06-13/2022-06-14/2022-06-15,,4
0,0.388592,0.461232,0.010398,0.078661,2022-05-03/2022-05-04/2022-05-06,,4
1,0.704248,0.778121,0.025253,0.080908,2022-09-01/2022-09-02/2022-09-05/2022-09-06/2022-09-07/2022-09-08/2022-09-13,,4
0,0.626263,0.677548,0.025253,0.084279,2022-08-02/2022-08-03/2022-08-04/2022-08-05/2022-08-08/2022-08-09/2022-08-10,,4
1,0.90107,0.846106,0.03268,0.0663,2022-11-18/2022-11-21/2022-11-22/2022-11-23/2022-11-24/2022-11-25/2022-11-28/2022-11-29/2022-11-30,,4
0,0.875074,0.8079,0.017825,0.055062,2022-11-11/2022-11-14/2022-11-15/2022-11-16/2022-11-17,,4
1,0.941919,0.808462,0.010398,0.040454,2022-12-08/2022-12-09/2022-12-12,,4
0,0.108214,0.242106,0.014112,0.067423,2022-01-10/2022-01-11/2022-01-12/2022-01-13,,5
1,0.212195,0.447185,0.014112,0.095516,2022-02-22/2022-02-23/2022-02-24/2022-02-25,,5
0,0.347742,0.382571,0.017825,0.056186,2022-04-15/2022-04-18/2022-04-19/2022-04-20/2022-04-21,,5
1,0.401589,0.531464,0.021539,0.129228,2022-05-06/2022-05-09/2022-05-10/2022-05-11/2022-05-12/2022-05-13,,5
0,0.45915,0.531464,0.017825,0.073042,2022-05-30/2022-05-31/2022-06-02/2022-06-03/2022-06-07,,5
1,0.611408,0.680357,0.017825,0.078661,2022-07-28/2022-07-29/2022-08-01/2022-08-02/2022-08-03,,5
0,0.663399,0.719126,0.010398,0.055062,2022-08-19/2022-08-22/2022-08-23,,5
1,0.785948,0.896112,0.017825,0.042701,2022-10-07/2022-10-11/2022-10-12/2022-10-13/2022-10-14,,5
0,0.824941,0.842735,0.028966,0.05731,2022-10-21/2022-10-24/2022-10-25/2022-10-26/2022-10-27/2022-10-28/2022-10-31/2022-11-01,,5
1,0.854649,0.832622,0.036393,0.055062,2022-11-01/2022-11-02/2022-11-03/2022-11-04/2022-11-07/2022-11-08/2022-11-09/2022-11-10/2022-11-11/2022-11-14,,5
0,0.921494,0.83824,0.021539,0.082032,2022-11-29/2022-11-30/2022-12-01/2022-12-02/2022-12-05/2022-12-06,,5
