CenterX,CenterY,Width,Height,Range,Pattern,Priority
0.76738,0.904998,0.017825,0.099095,2022-09-23/2022-09-26/2022-09-27/2022-09-28/2022-09-29,,1
0.05251,0.161245,0.014112,0.231581,2021-12-13/2021-12-14/2021-12-15/2021-12-16,,1
0.165775,0.55978,0.010398,0.102327,2022-01-26/2022-01-27/2022-01-28,,3
0.280897,0.285114,0.010398,0.231581,2022-03-17/2022-03-18/2022-03-21,,3
0.525995,0.810211,0.010398,0.103404,2022-06-22/2022-06-23/2022-06-24,,3
0.733957,0.799978,0.010398,0.039854,2022-09-13/2022-09-14/2022-09-15,,3
0.145351,0.40629,0.021539,0.150797,2022-01-17/2022-01-18/2022-01-19/2022-01-20/2022-01-21/2022-01-24,,4
0.188057,0.427833,0.017825,0.17234,2022-02-07/2022-02-08/2022-02-09/2022-02-10/2022-02-11,BearishEngulfing,4
0.483289,0.573244,0.014112,0.08617,2022-06-03/2022-06-07/2022-06-08/2022-06-09,,4
0.399733,0.481689,0.017825,0.075399,2022-04-29/2022-05-02/2022-05-03/2022-05-04/2022-05-06,,4
0.702392,0.748277,0.021539,0.070013,2022-08-26/2022-08-29/2022-08-30/2022-08-31/2022-09-01/2022-09-02,,4
0.613265,0.659414,0.021539,0.075399,2022-07-22/2022-07-25/2022-07-26/2022-07-27/2022-07-28/2022-07-29,,4
0.915924,0.850603,0.03268,0.06355,2022-11-18/2022-11-21/2022-11-22/2022-11-23/2022-11-24/2022-11-25/2022-11-28/2022-11-29/2022-11-30,,4
0.889929,0.813981,0.017825,0.052779,2022-11-11/2022-11-14/2022-11-15/2022-11-16/2022-11-17,,4
0.22705,0.468225,0.014112,0.091555,2022-02-22/2022-02-23/2022-02-24/2022-02-25,,5
0.334745,0.414369,0.021539,0.080784,2022-04-05/2022-04-06/2022-04-07/2022-04-08/2022-04-11/2022-04-12,,5
0.416444,0.549009,0.021539,0.123869,2022-05-06/2022-05-09/2022-05-10/2022-05-11/2022-05-12/2022-05-13,,5
0.436869,0.551702,0.03268,0.096941,2022-05-12/2022-05-13/2022-05-16/2022-05-17/2022-05-18/2022-05-19/2022-05-20/2022-05-23/2022-05-24,,5
0.548277,0.792439,0.017825,0.067859,2022-06-29/2022-06-30/2022-07-01/2022-07-04/2022-07-05,,5
0.667112,0.691728,0.010398,0.053856,2022-08-16/2022-08-17/2022-08-18,,5
0.763666,0.903382,0.010398,0.095864,2022-09-23/2022-09-26/2022-09-27,,5
0.817513,0.880224,0.021539,0.07109,2022-10-14/2022-10-17/2022-10-18/2022-10-19/2022-10-20/2022-10-21,,5
0.830511,0.853296,0.010398,0.043085,2022-10-21/2022-10-24/2022-10-25,,5
0.839795,0.847372,0.028966,0.054933,2022-10-21/2022-10-24/2022-10-25/2022-10-26/2022-10-27/2022-10-28/2022-10-31/2022-11-01,,5
