Label,CenterX,CenterY,Width,Height,Range,Pattern,Priority
1,0.785948,0.904998,0.017825,0.099095,2022-09-23/2022-09-26/2022-09-27/2022-09-28/2022-09-29,,1
0,0.071078,0.161245,0.014112,0.231581,2021-12-13/2021-12-14/2021-12-15/2021-12-16,,1
1,0.184343,0.55978,0.010398,0.102327,2022-01-26/2022-01-27/2022-01-28,,2
0,0.299465,0.285114,0.010398,0.231581,2022-03-17/2022-03-18/2022-03-21,,3
1,0.544563,0.810211,0.010398,0.103404,2022-06-22/2022-06-23/2022-06-24,,3
0,0.208482,0.42514,0.014112,0.166954,2022-02-08/2022-02-09/2022-02-10/2022-02-11,,4
1,0.696821,0.710039,0.025253,0.090478,2022-08-17/2022-08-18/2022-08-19/2022-08-22/2022-08-23/2022-08-24/2022-08-25,,4
0,0.603981,0.651336,0.040107,0.102327,2022-07-08/2022-07-11/2022-07-12/2022-07-13/2022-07-14/2022-07-15/2022-07-18/2022-07-19/2022-07-20/2022-07-21/2022-07-22,,4
1,0.934492,0.850603,0.03268,0.06355,2022-11-18/2022-11-21/2022-11-22/2022-11-23/2022-11-24/2022-11-25/2022-11-28/2022-11-29/2022-11-30,,4
0,0.2679,0.454761,0.036393,0.107712,2022-02-25/2022-02-28/2022-03-02/2022-03-03/2022-03-04/2022-03-07/2022-03-08/2022-03-10/2022-03-11/2022-03-14,,5
1,0.355169,0.417062,0.03268,0.096941,2022-04-04/2022-04-05/2022-04-06/2022-04-07/2022-04-08/2022-04-11/2022-04-12/2022-04-13/2022-04-14,,5
0,0.455437,0.551702,0.03268,0.096941,2022-05-12/2022-05-13/2022-05-16/2022-05-17/2022-05-18/2022-05-19/2022-05-20/2022-05-23/2022-05-24,,5
1,0.644831,0.691728,0.017825,0.075399,2022-07-28/2022-07-29/2022-08-01/2022-08-02/2022-08-03,,5
0,0.659685,0.689035,0.025252,0.080784,2022-08-02/2022-08-03/2022-08-04/2022-08-05/2022-08-08/2022-08-09/2022-08-10,,5
