CenterX,CenterY,Width,Height,Range,Pattern,Priority
0.774807,0.904998,0.017825,0.099095,2022-09-23/2022-09-26/2022-09-27/2022-09-28/2022-09-29,,1
0.059938,0.161245,0.014112,0.231581,2021-12-13/2021-12-14/2021-12-15/2021-12-16,,1
0.173203,0.55978,0.010398,0.102327,2022-01-26/2022-01-27/2022-01-28,,2
0.59284,0.651336,0.040107,0.102327,2022-07-08/2022-07-11/2022-07-12/2022-07-13/2022-07-14/2022-07-15/2022-07-18/2022-07-19/2022-07-20/2022-07-21/2022-07-22,,2
0.490716,0.573244,0.014112,0.08617,2022-06-03/2022-06-07/2022-06-08/2022-06-09,,3
0.288324,0.285114,0.010398,0.231581,2022-03-17/2022-03-18/2022-03-21,,3
0.533422,0.810211,0.010398,0.103404,2022-06-22/2022-06-23/2022-06-24,,3
0.741384,0.799978,0.010398,0.039854,2022-09-13/2022-09-14/2022-09-15,,3
0.147207,0.40629,0.010398,0.150797,2022-01-17/2022-01-18/2022-01-19,,4
0.195484,0.427833,0.017825,0.17234,2022-02-07/2022-02-08/2022-02-09/2022-02-10/2022-02-11,BearishEngulfing,4
0.423871,0.549009,0.021539,0.123869,2022-05-06/2022-05-09/2022-05-10/2022-05-11/2022-05-12/2022-05-13,,4
0.496286,0.605558,0.010398,0.08617,2022-06-08/2022-06-09/2022-06-10,,4
0.694964,0.719733,0.036393,0.088324,2022-08-18/2022-08-19/2022-08-22/2022-08-23/2022-08-24/2022-08-25/2022-08-26/2022-08-29/2022-08-30/2022-08-31,,4
0.719103,0.774128,0.010398,0.054933,2022-09-01/2022-09-02/2022-09-05,,4
0.923351,0.850603,0.03268,0.06355,2022-11-18/2022-11-21/2022-11-22/2022-11-23/2022-11-24/2022-11-25/2022-11-28/2022-11-29/2022-11-30,,4
0.897356,0.813981,0.017825,0.052779,2022-11-11/2022-11-14/2022-11-15/2022-11-16/2022-11-17,,4
0.072935,0.188173,0.017825,0.210039,2021-12-16/2021-12-17/2021-12-20/2021-12-21/2021-12-22,BullishHarami/Hammer/BullishDoji/BearishEngulfing,5
0.110071,0.233951,0.010398,0.053856,2022-01-03/2022-01-04/2022-01-05,,5
0.234477,0.468225,0.014112,0.091555,2022-02-22/2022-02-23/2022-02-24/2022-02-25,,5
0.254902,0.457454,0.040107,0.113098,2022-02-24/2022-02-25/2022-02-28/2022-03-02/2022-03-03/2022-03-04/2022-03-07/2022-03-08/2022-03-10/2022-03-11/2022-03-14,BullishHarami,5
0.344029,0.417062,0.03268,0.096941,2022-04-04/2022-04-05/2022-04-06/2022-04-07/2022-04-08/2022-04-11/2022-04-12/2022-04-13/2022-04-14,,5
0.336601,0.387441,0.025253,0.070013,2022-04-01/2022-04-04/2022-04-05/2022-04-06/2022-04-07/2022-04-08/2022-04-11,,5
0.481432,0.549009,0.017825,0.070013,2022-05-30/2022-05-31/2022-06-02/2022-06-03/2022-06-07,,5
0.444296,0.551702,0.03268,0.096941,2022-05-12/2022-05-13/2022-05-16/2022-05-17/2022-05-18/2022-05-19/2022-05-20/2022-05-23/2022-05-24,,5
0.555704,0.792439,0.017825,0.067859,2022-06-29/2022-06-30/2022-07-01/2022-07-04/2022-07-05,,5
0.58727,0.654028,0.028966,0.096941,2022-07-08/2022-07-11/2022-07-12/2022-07-13/2022-07-14/2022-07-15/2022-07-18/2022-07-19,,5
0.63369,0.691728,0.017825,0.075399,2022-07-28/2022-07-29/2022-08-01/2022-08-02/2022-08-03,,5
0.670826,0.691728,0.017825,0.053856,2022-08-11/2022-08-12/2022-08-16/2022-08-17/2022-08-18,,5
0.758096,0.831215,0.021539,0.09371,2022-09-16/2022-09-19/2022-09-20/2022-09-21/2022-09-22/2022-09-23,,5
0.824941,0.880224,0.021539,0.07109,2022-10-14/2022-10-17/2022-10-18/2022-10-19/2022-10-20/2022-10-21,,5
0.837938,0.853296,0.010398,0.043085,2022-10-21/2022-10-24/2022-10-25,,5
0.847222,0.847372,0.028966,0.054933,2022-10-21/2022-10-24/2022-10-25/2022-10-26/2022-10-27/2022-10-28/2022-10-31/2022-11-01,,5
