Label,Date,Priority
1,2022-09-28,1
0,2021-12-15,1
1,2022-06-13,2
0,2022-07-20,2
1,2022-12-08,2
1,2022-01-27,3
0,2022-03-18,3
1,2022-06-23,3
0,2022-09-13,3
1,2022-01-24,4
0,2022-02-10,4
1,2022-04-25,4
1,2022-06-09,4
0,2022-04-29,4
1,2022-09-02,4
0,2022-07-22,4
1,2022-11-28,4
0,2022-11-15,4
0,2022-12-06,4
1,2021-12-21,5
0,2022-01-04,5
1,2022-02-24,5
0,2022-03-04,5
1,2022-03-15,5
0,2022-04-05,5
1,2022-05-12,5
0,2022-05-23,5
0,2022-06-10,5
1,2022-07-04,5
1,2022-08-02,5
0,2022-08-16,5
1,2022-09-27,5
0,2022-10-18,5
1,2022-10-21,5
0,2022-10-25,5
