Label,Date,Priority
1,2022-09-28,1
0,2022-01-03,1
1,2022-06-20,2
0,2022-07-20,2
1,2022-12-16,2
1,2022-01-27,3
0,2022-03-25,3
1,2022-09-19,3
0,2022-12-15,3
1,2022-02-14,4
0,2022-03-18,4
1,2022-04-27,4
1,2022-06-16,4
0,2022-05-04,4
1,2022-06-23,4
1,2022-09-07,4
0,2022-08-05,4
0,2022-09-15,4
1,2022-11-28,4
0,2022-11-15,4
1,2022-12-12,4
1,2022-01-06,5
0,2022-01-12,5
0,2022-02-10,5
1,2022-03-14,5
1,2022-04-12,5
0,2022-04-15,5
1,2022-05-12,5
0,2022-05-30,5
0,2022-07-07,5
1,2022-07-29,5
1,2022-08-22,5
0,2022-08-25,5
1,2022-10-13,5
0,2022-10-25,5
1,2022-11-01,5
0,2022-12-06,5
