Label,Date,Priority
1,2022-09-28,1
0,2022-01-03,1
1,2022-06-23,2
0,2022-07-20,2
1,2022-12-27,2
1,2022-01-27,3
0,2022-04-04,3
1,2022-09-30,3
0,2022-12-15,3
1,2022-02-24,4
0,2022-03-18,4
1,2022-05-12,4
0,2022-04-01,4
0,2022-05-23,4
1,2022-07-04,4
1,2022-09-23,4
0,2022-08-11,4
0,2022-10-25,4
1,2022-11-28,4
1,2022-12-23,4
0,2022-12-21,4
1,2022-01-19,5
0,2022-02-10,5
0,2022-03-04,5
1,2022-03-14,5
1,2022-04-12,5
0,2022-04-22,5
1,2022-06-07,5
0,2022-06-08,5
0,2022-07-19,5
1,2022-08-02,5
1,2022-08-29,5
0,2022-09-01,5
0,2022-10-18,5
1,2022-10-21,5
0,2022-11-15,5
1,2022-11-30,5
