Label,Date,Priority
1,2022-09-28,1
0,2021-12-15,1
1,2022-01-27,2
0,2022-06-09,2
1,2022-12-05,2
1,2022-05-12,3
0,2022-03-18,3
1,2022-06-23,3
0,2022-09-13,3
1,2022-01-19,4
0,2022-02-10,4
1,2022-03-14,4
0,2022-04-21,4
0,2022-06-07,4
1,2022-08-29,4
0,2022-07-20,4
0,2022-08-31,4
1,2022-11-28,4
0,2022-11-15,4
1,2022-11-29,4
0,2022-12-02,4
1,2021-12-21,5
0,2022-01-03,5
1,2022-02-15,5
0,2022-03-04,5
1,2022-04-12,5
0,2022-03-31,5
1,2022-05-13,5
0,2022-05-23,5
1,2022-07-04,5
0,2022-07-15,5
1,2022-08-02,5
0,2022-08-09,5
1,2022-09-22,5
0,2022-10-17,5
1,2022-10-21,5
0,2022-10-25,5
